sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Tax_Rate,Tax_At_Cap,Dead_Firms,TopK_Share,scenario,spread,c0,eta,benefit_replacement_rate
1.0,0.4,1,133.15985911901362,417.19958783533804,20.924710667893827,112.23514845111983,75.76470588235294,0.24235294117647058,0.5120219439537237,0.6666666666666666,0.48797805604627625,0.502961788095372,0.9066284738217766,0.17283462632782767,0.17283462632782767,160.98220989394076,160.98220989394076,0.5858598877322263,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3460602725195477,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,2,131.02993056765175,418.75835463458577,20.734575010548387,110.29535555710336,73.43137254901961,0.2656862745098039,0.5043185350846114,0.6666666666666666,0.49568146491538856,0.524004380617691,0.911371054856105,0.18710465310531507,0.18710465310531507,161.18218327387223,161.18218327387223,0.5753712211402661,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.35877142607946144,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,3,131.79128559463464,412.3367423673103,20.71155256412698,111.07973303050771,74.72549019607843,0.2527450980392157,0.5102031215086691,0.6666666666666666,0.4897968784913309,0.5109904269353995,0.906535847340039,0.17814883220119954,0.17814883220119954,160.3539956478448,160.3539956478448,0.5881380034604516,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.333078351809527,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,4,133.23113859437893,421.65527537963055,21.113434266242194,112.11770432813675,75.2156862745098,0.24784313725490192,0.5080154589923771,0.6666666666666666,0.4919845410076229,0.5095798820041403,0.909471621357133,0.1753199225891921,0.1753199225891921,161.55361138042537,161.55361138042537,0.5804420074526885,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.35619587726706237,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,5,133.5696121633178,423.644282260244,21.208202079045122,112.36141008427268,75.29411764705883,0.24705882352941175,0.5073245556600673,0.6666666666666666,0.49267544433993266,0.5089755642104565,0.9067572086226435,0.1745193035304311,0.1745193035304311,161.80801304347017,161.80801304347017,0.5794175057144395,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3380436272838412,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,6,133.84949869388552,429.2126553105548,21.43514211686048,112.41435657702502,74.70588235294117,0.2529411764705882,0.5022935742876588,0.6666666666666666,0.49770642571234136,0.5171246384409924,0.9110144442317892,0.17638466935960592,0.17638466935960592,162.51367896387399,162.51367896387399,0.5736886406610802,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3441943837450218,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,7,132.91030263450043,415.08465312526533,20.86212096731041,112.04818166718998,75.6078431372549,0.24392156862745096,0.5119595074380558,0.6666666666666666,0.48804049256194415,0.5050309914573263,0.9090115782206754,0.1729871632509246,0.1729871632509246,160.71055848613835,160.71055848613835,0.5881971784403234,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3509891981903244,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,8,133.63564998776536,414.8756232668573,20.995614997193762,112.64003499057162,76.11764705882354,0.2388235294117647,0.512588129236317,0.6666666666666666,0.487411870763683,0.501679588224516,0.9100072226818077,0.16834094983932105,0.16834094983932105,160.68085484602207,160.68085484602207,0.5913494848348263,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3547199512110504,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,9,133.52843215249524,425.7844345635766,21.289221728972443,112.2392104235228,75.0,0.25,0.5055103165063158,0.6666666666666666,0.4944896834936841,0.5121442950679309,0.9080390732312839,0.17615820119851794,0.17615820119851794,162.08018620413682,162.08018620413682,0.5762348277832535,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3361921442409187,S1_anchor,0.05,2.0,0.0,0.0
1.0,0.4,10,135.0624277198582,426.45662180597776,21.596625112334806,113.46580260752334,76.07843137254902,0.2392156862745098,0.5069239669903084,0.6666666666666666,0.4930760330096916,0.505151683080642,0.9109883990944987,0.1671052841125692,0.1671052841125692,162.16336116290148,162.16336116290148,0.5846555229235154,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3438353749786748,S1_anchor,0.05,2.0,0.0,0.0
