c0,eta,rr,sigma,rho,Y,U,Wage_Rate,collapsed,binding,frac_seeds_collapsed,mixed_basin
2.0,0.1,0.5,1.5,0.35,8.558051673421184e-43,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,1.5,0.4,1.7208214828762544e-42,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,1.5,0.45,4.3189697460356515e-42,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,1.5,0.5,1.3363765600801767e-41,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,1.5,0.55,1.1348335797679146e-40,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,1.5,0.6,2.986034102444397e-30,1.0,0.7867155323539139,True,collapsed,1.0,False
2.0,0.1,0.5,1.5,0.65,126.14056049672975,0.4076470588235294,0.8615563728830136,False,demand,0.0,False
2.0,0.15,0.0,0.05,0.35,87.03356984176109,0.5166666666666667,0.8121325152227482,False,capital,0.0,False
2.0,0.15,0.0,0.05,0.4,101.45751575707816,0.441764705882353,0.8364569797029507,False,demand,0.0,False
2.0,0.15,0.0,0.05,0.45,149.2426264074187,0.18000000000000002,0.9528370694704961,False,demand,0.0,False
2.0,0.15,0.0,0.05,0.5,171.50794206078817,0.050000000000000024,1.15281556511581,False,capital,0.0,False
2.0,0.15,0.0,0.05,0.55,173.1543822767247,0.04137254901960787,1.1889665785802204,False,capital,0.0,False
2.0,0.15,0.0,0.05,0.6,173.97315924983948,0.033790849673202644,1.2303511254123753,False,capital,0.0,False
2.0,0.15,0.0,0.05,0.65,175.7619228863202,0.030000000000000027,1.2446210563617373,False,capital,0.0,False
2.0,0.15,0.0,0.3,0.35,133.39897539124237,0.24934640522875817,0.9121206332024108,False,demand,0.0,False
2.0,0.15,0.0,0.3,0.4,136.81109276463624,0.26026143790849676,0.927011826375701,False,demand,0.0,False
2.0,0.15,0.0,0.3,0.45,140.28877730555834,0.2539869281045752,0.9447965125532981,False,demand,0.0,False
2.0,0.15,0.0,0.3,0.5,166.85754279246353,0.0712418300653595,1.1539782166475765,False,profitmax,0.0,False
2.0,0.15,0.0,0.3,0.55,149.73957032206476,0.15065359477124185,1.1463604289535363,False,profitmax,0.0,False
