sigma,rho,seed,Output,Total_Capital,Investment,Consumption,Employment,Unemployment_Rate,Wage_Share,Wage_Share_Profitmax,Profit_Share,Income_Gini,Wealth_Gini,Output_Gap,Output_Gap_PM,Potential_Output,Potential_Output_PM,Average_Utilization,Money_Buffer,Cash_Constrained,Bound_Demand,Bound_Profitmax,Bound_Capital,Bound_Workforce,Wage_Rate,Wage_Floor_Binding,Price,c0,eta,enable_prices,prices
0.05,0.5,6,98.31601323282301,416.919573381506,20.84597866907534,77.47003456374766,54.0,0.46,0.4943243567546816,0.5120135414510577,0.5056756432453183,0.6274212541137538,0.9081810416538845,0.29273144805080703,0.2657430325430417,139.00803727504848,133.89864528399752,0.7342569674569581,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.5,7,109.24423969725143,482.17094435765796,24.108547217882947,85.13569247936849,60.0,0.3999999999999999,0.49430523888170397,0.5120135414510577,0.505694761118296,0.5854192481122453,0.9071229056099652,0.31744618643814904,0.294538021752123,160.05220031980974,154.85489376560912,0.7054619782478769,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.5,8,94.6732958122335,397.6195003060768,19.88097501530388,74.79232079692963,52.0,0.48,0.49433158102807484,0.5120135414510577,0.5056684189719252,0.6405030968832267,0.9078121037871308,0.2860108109148926,0.25862843866080404,132.59766010399414,127.70019886009374,0.741371561339196,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.5,9,96.49400939545853,405.4527211831297,20.27263605915654,76.22137333630201,53.0,0.46999999999999986,0.4943312056245119,0.5120135414510577,0.5056687943754882,0.6345029594292287,0.9086405505657573,0.2862983201653161,0.2589692428580233,135.2021609614393,130.21593026397272,0.7410307571419764,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.5,10,105.60146032171373,458.5432484251222,22.927162421256106,82.67429790045762,58.0,0.4200000000000001,0.49431134608340893,0.5120135414510577,0.505688653916591,0.6003630583232207,0.9093098118547683,0.3081970263914978,0.2829231165937874,152.64672797066436,147.26658014701638,0.7170768834062127,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.5,11,96.49462933788459,407.10475507784633,20.35523775389234,76.13939158399226,53.0,0.46999999999999986,0.4943280297287238,0.5120135414510577,0.5056719702712763,0.6329381793058262,0.9045552635225746,0.28917945261743794,0.2619716092042881,135.75104109357073,130.74650046165308,0.7380283907957118,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.55,0,101.9625566533506,460.94723972837556,23.04736198641882,78.91519466693177,56.0,0.44,0.49429910012308226,0.5120135414510577,0.5057008998769177,0.6099587202206258,0.9087241043018298,0.3353914734451102,0.3112436757987158,153.41746694387248,148.0386503479172,0.6887563242012844,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.55,1,101.9626020878666,461.45506510420506,23.072753255210245,78.88984883265636,56.0,0.44,0.4942988798634977,0.5120135414510577,0.5057011201365024,0.6093463013429331,0.9071802477657862,0.33609406469115854,0.3120013367204302,153.57989236899164,148.20174446535788,0.68799866327957,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.55,2,101.96266399632543,462.1655085578043,23.10827542789027,78.85438856843518,56.0,0.44,0.494298579741074,0.5120135414510577,0.5057014202589261,0.6095982033461342,0.9088413993178905,0.33707348406489784,0.31305851509763905,153.8068874081772,148.42991177162344,0.6869414849023613,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
0.05,0.55,3,107.42563727508774,496.6301558924534,24.83150779462274,82.59412948046499,59.0,0.4100000000000001,0.49429541538604427,0.5120135414510577,0.5057045846139556,0.5864907344146388,0.9031002405722209,0.3461870921547395,0.32647929127770575,164.30638793768262,159.498640329679,0.6735207087222942,0.0,0.9,1.0,0.0,0.0,0.0,0.9,0.0,1.0,1.0,0.0,False,off
